Composer;Range;Prevalence of Most Common Pitch Class;Relative Prevalence of Top Pitches;Pitch Class Variability After Folding;Most Common Melodic Interval;Number of Common Melodic Intervals;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
2;51.0000;0.2000;0.9400;4.3600;1.0000;3.0000;0.5300;0.1400;0.0300;3.7600
2;51.0000;0.2200;0.6900;3.3000;0.0000;2.0000;0.3200;0.1300;0.0700;3.3000
2;50.0000;0.1700;0.8400;4.0600;2.0000;3.0000;0.5100;0.1400;0.0600;3.6000
2;51.0000;0.2200;0.9500;2.3900;2.0000;4.0000;0.4500;0.1600;0.0300;3.6400
2;50.0000;0.1900;0.9800;2.0900;2.0000;3.0000;0.5500;0.1900;0.0300;2.9200
2;53.0000;0.1700;0.9800;3.9700;2.0000;3.0000;0.5700;0.2100;0.0900;2.4100
2;52.0000;0.1500;0.9700;2.6700;1.0000;3.0000;0.5700;0.2200;0.0500;4.3000
2;53.0000;0.1800;0.8300;3.7800;0.0000;3.0000;0.4000;0.2200;0.0500;3.9800
2;58.0000;0.1700;0.9100;4.1900;2.0000;3.0000;0.4800;0.2400;0.0200;3.4000
2;55.0000;0.1900;0.9000;4.3700;2.0000;4.0000;0.4900;0.1800;0.0300;3.5900
2;51.0000;0.1700;0.8300;4.0500;0.0000;4.0000;0.3900;0.2300;0.0500;8.7100
2;55.0000;0.1700;0.8900;3.3900;0.0000;4.0000;0.4300;0.2400;0.0700;2.7300
2;53.0000;0.1900;0.6400;4.2000;0.0000;4.0000;0.3900;0.2900;0.0500;3.4400
2;55.0000;0.2300;0.7500;3.5700;0.0000;4.0000;0.3400;0.2200;0.1100;2.3800
2;53.0000;0.1900;0.9700;3.4000;0.0000;3.0000;0.3600;0.1900;0.0400;3.9200
2;57.0000;0.1700;0.9500;2.7700;2.0000;5.0000;0.3900;0.1800;0.0400;2.7700
2;57.0000;0.1700;0.7500;2.6300;0.0000;4.0000;0.4100;0.2200;0.0500;3.9600
2;56.0000;0.1700;0.9100;2.6500;2.0000;4.0000;0.5000;0.2900;0.0300;3.2400
2;51.0000;0.1700;0.9500;4.2000;2.0000;4.0000;0.5400;0.2600;0.0500;2.8300
2;57.0000;0.1900;0.7800;3.1600;1.0000;5.0000;0.3900;0.2000;0.0200;1.6000
2;51.0000;0.1600;1.0000;3.9400;1.0000;3.0000;0.3100;0.2300;0.0900;2.5500
2;56.0000;0.2100;0.9000;4.2100;2.0000;4.0000;0.3300;0.1800;0.0300;2.3500
2;51.0000;0.1600;0.9100;4.1800;2.0000;4.0000;0.4100;0.2300;0.0500;1.7300
2;58.0000;0.1700;0.7200;3.0000;2.0000;3.0000;0.3500;0.1500;0.0200;3.1400
